time_s;ndir_ppm;qcl_ppm
5200.0;23.6;24.9
5205.0;23.5;25.0
5210.0;23.8;24.9
5215.0;24.0;24.9
5220.0;24.0;25.0
5225.0;23.4;24.9
5230.0;24.1;24.9
5235.0;23.8;24.9
5240.0;23.7;24.9
5245.0;24.0;25.0
5250.0;23.9;24.9
5255.0;24.0;25.0
5260.0;23.9;24.9
5265.0;23.3;24.9
5270.0;23.6;24.9
5275.0;23.3;24.9
5280.0;23.2;24.9
5285.0;23.6;24.9
5290.0;23.4;24.9
5295.0;23.2;24.9
5300.0;23.5;24.9
5305.0;23.6;24.9
5310.0;23.6;24.9
5315.0;22.8;25.0
5320.0;23.0;24.9
5325.0;23.5;25.0
5330.0;23.2;24.9
5335.0;23.9;24.9
5340.0;24.2;24.9
5345.0;23.9;25.0
5350.0;24.0;24.9
5355.0;23.4;24.9
5360.0;23.5;24.9
5365.0;23.5;24.9
5370.0;23.2;24.9
5375.0;23.2;24.9
5380.0;23.0;24.9
5385.0;23.2;25.0
5390.0;23.6;24.9
5395.0;23.7;24.9
5400.0;24.1;24.9
5405.0;24.4;24.9
5410.0;23.6;25.0
5415.0;23.5;25.0
5420.0;23.5;24.9
5425.0;23.9;24.9
5430.0;23.7;24.9
5435.0;23.4;24.9
5440.0;23.3;24.9
5445.0;22.8;24.9
5450.0;23.0;24.9
5455.0;23.2;25.0
5460.0;23.1;24.9
5465.0;23.0;24.9
5470.0;23.4;24.9
5475.0;23.2;24.9
5480.0;22.9;24.9
5485.0;23.2;24.9
5490.0;23.7;24.9
5495.0;24.2;24.9
5500.0;23.7;24.9
5505.0;23.9;25.0
5510.0;24.0;24.9
5515.0;23.5;25.0
5520.0;23.5;24.9
5525.0;23.4;24.9
5530.0;23.7;24.9
5535.0;23.5;24.9
5540.0;23.9;25.0
5545.0;23.7;25.0
5550.0;24.3;24.9
5555.0;23.8;25.0
5560.0;24.0;24.9
5565.0;24.2;24.9
5570.0;23.7;24.9
5575.0;23.2;24.9
5580.0;22.9;24.9
5585.0;23.4;24.9
5590.0;23.2;25.0
5595.0;23.2;24.9
5600.0;23.1;24.9
5605.0;23.6;24.9
5610.0;23.7;24.8
5615.0;23.2;24.9
5620.0;23.2;24.9
5625.0;23.6;25.0
5630.0;23.7;24.9
5635.0;23.3;24.9
5640.0;23.4;25.0
5645.0;23.5;24.9
5650.0;23.9;24.9
5655.0;24.0;25.0
5660.0;23.5;24.9
5665.0;23.7;25.0
5670.0;24.0;24.9
5675.0;24.0;25.0
5680.0;24.0;24.9
5685.0;24.4;24.9
5690.0;24.5;24.9
5695.0;24.1;24.9
5700.0;24.4;24.9
5705.0;23.9;24.9
5710.0;23.9;24.9
5715.0;23.7;24.9
5720.0;24.0;24.9
5725.0;23.6;24.9
5730.0;23.4;24.9
5735.0;23.5;24.9
5740.0;23.6;25.0
5745.0;23.6;24.9
5750.0;23.7;25.0
5755.0;24.0;24.9
5760.0;24.2;25.0
5765.0;23.3;24.9
5770.0;23.7;25.0
5775.0;23.8;25.0
5780.0;23.4;24.9
5785.0;23.7;24.9
5790.0;23.2;24.9
5795.0;24.0;24.9
5800.0;24.2;25.0
